,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4997.0,3.0,0.0,0.0
2,2,4993.0,7.0,0.0,0.0
3,3,4980.0,20.0,0.0,0.0
4,4,4944.0,56.0,0.0,0.0
5,5,4865.0,135.0,0.0,0.0
6,6,4672.0,328.0,0.0,0.0
7,7,4249.0,751.0,0.0,0.0
8,8,3351.0,1649.0,0.0,0.0
9,9,1903.0,3097.0,0.0,0.0
10,10,558.0,4442.0,0.0,0.0
11,11,51.0,4949.0,0.0,0.0
12,12,3.0,4996.0,1.0,0.0
13,13,0.0,4997.0,3.0,0.0
14,14,0.0,4990.0,10.0,0.0
15,15,0.0,4964.0,34.0,2.0
16,16,0.0,4911.0,83.0,6.0
17,17,0.0,4779.0,208.0,13.0
18,18,0.0,4509.0,463.0,28.0
19,19,0.0,3970.0,980.0,50.0
20,20,0.0,3225.0,1688.0,87.0
21,21,0.0,2425.0,2441.0,134.0
22,22,0.0,1673.0,3148.0,179.0
23,23,0.0,993.0,3791.0,216.0
24,24,0.0,443.0,4310.0,247.0
25,25,0.0,84.0,4645.0,271.0
26,26,0.0,9.0,4719.0,272.0
27,27,0.0,2.0,4724.0,274.0
28,28,0.0,0.0,4726.0,274.0
29,29,0.0,0.0,4726.0,274.0
30,30,0.0,0.0,4726.0,274.0
31,31,0.0,0.0,4726.0,274.0
32,32,0.0,0.0,4726.0,274.0
33,33,0.0,0.0,4726.0,274.0
34,34,0.0,0.0,4726.0,274.0
35,35,0.0,0.0,4726.0,274.0
36,36,0.0,0.0,4726.0,274.0
37,37,0.0,0.0,4726.0,274.0
38,38,0.0,0.0,4726.0,274.0
