,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4987.0,13.0,0.0,0.0
2,2,4984.0,16.0,0.0,0.0
3,3,4976.0,24.0,0.0,0.0
4,4,4968.0,32.0,0.0,0.0
5,5,4957.0,43.0,0.0,0.0
6,6,4942.0,58.0,0.0,0.0
7,7,4925.0,75.0,0.0,0.0
8,8,4904.0,96.0,0.0,0.0
9,9,4871.0,129.0,0.0,0.0
10,10,4840.0,157.0,3.0,0.0
11,11,4794.0,203.0,3.0,0.0
12,12,4737.0,256.0,7.0,0.0
13,13,4675.0,315.0,10.0,0.0
14,14,4594.0,392.0,14.0,0.0
15,15,4478.0,501.0,20.0,1.0
16,16,4330.0,641.0,26.0,3.0
17,17,4170.0,793.0,33.0,4.0
18,18,3979.0,969.0,48.0,4.0
19,19,3748.0,1184.0,62.0,6.0
20,20,3472.0,1439.0,80.0,9.0
21,21,3179.0,1700.0,112.0,9.0
22,22,2829.0,2014.0,146.0,11.0
23,23,2436.0,2374.0,177.0,13.0
24,24,2062.0,2697.0,226.0,15.0
25,25,1694.0,3005.0,284.0,17.0
26,26,1347.0,3281.0,347.0,25.0
27,27,1054.0,3461.0,457.0,28.0
28,28,806.0,3593.0,564.0,37.0
29,29,571.0,3665.0,725.0,39.0
30,30,409.0,3623.0,916.0,52.0
31,31,276.0,3537.0,1122.0,65.0
32,32,197.0,3342.0,1383.0,78.0
33,33,136.0,3100.0,1664.0,100.0
34,34,100.0,2810.0,1982.0,108.0
35,35,79.0,2502.0,2288.0,131.0
36,36,64.0,2167.0,2622.0,147.0
37,37,58.0,1836.0,2939.0,167.0
38,38,48.0,1518.0,3250.0,184.0
