,H,D,R,T,Iso,L,M,S
0,4990.0,10.0,0.0,0.0,0.0,5.0,4.0,1.0
1,4972.0,28.0,0.0,0.0,0.0,17.0,9.0,2.0
2,4922.0,78.0,0.0,0.0,0.0,52.0,20.0,6.0
3,4779.0,221.0,0.0,0.0,0.0,164.0,47.0,10.0
4,4383.0,617.0,0.0,0.0,0.0,495.0,98.0,24.0
5,3528.0,1472.0,0.0,0.0,10.0,1181.0,236.0,55.0
6,2061.0,2939.0,0.0,0.0,28.0,2362.0,450.0,127.0
7,633.0,4367.0,0.0,0.0,78.0,3509.0,664.0,194.0
8,125.0,4875.0,0.0,0.0,221.0,3904.0,747.0,224.0
9,20.0,4980.0,0.0,0.0,617.0,3990.0,763.0,227.0
10,5.0,4995.0,0.0,0.0,1472.0,4003.0,763.0,229.0
11,1.0,4996.0,3.0,0.0,2936.0,4005.0,762.0,229.0
12,1.0,4978.0,21.0,0.0,4346.0,3995.0,755.0,228.0
13,1.0,4931.0,65.0,3.0,4807.0,3960.0,744.0,227.0
14,1.0,4832.0,158.0,9.0,4813.0,3877.0,730.0,225.0
15,1.0,4610.0,366.0,23.0,4606.0,3681.0,709.0,220.0
16,1.0,4101.0,849.0,49.0,4101.0,3274.0,628.0,199.0
17,1.0,3351.0,1560.0,88.0,3351.0,2693.0,504.0,154.0
18,1.0,2593.0,2294.0,112.0,2593.0,2081.0,395.0,117.0
19,1.0,1820.0,3025.0,154.0,1820.0,1483.0,260.0,77.0
20,1.0,1088.0,3725.0,186.0,1088.0,896.0,147.0,45.0
21,1.0,479.0,4305.0,215.0,479.0,395.0,65.0,19.0
22,1.0,133.0,4635.0,231.0,133.0,109.0,20.0,4.0
23,1.0,21.0,4743.0,235.0,21.0,18.0,3.0,0.0
24,1.0,3.0,4760.0,236.0,3.0,3.0,0.0,0.0
25,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
26,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
27,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
28,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
29,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
30,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
31,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
32,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
33,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
34,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
35,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
36,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
37,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
38,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
39,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
40,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
41,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
42,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
43,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
44,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
45,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
46,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
47,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
48,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
49,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
50,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
51,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
52,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
53,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
54,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
55,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
56,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
57,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
58,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
59,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
60,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
61,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
62,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
63,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
64,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
65,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
66,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
67,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
68,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
69,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
70,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
71,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
72,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
73,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
74,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
75,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
76,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
77,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
78,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
79,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
80,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
81,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
82,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
83,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
84,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
85,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
86,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
87,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
88,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
89,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
90,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
91,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
92,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
93,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
94,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
95,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
96,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
97,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
98,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
99,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
100,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
101,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
102,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
103,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
104,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
105,1.0,0.0,4762.0,237.0,0.0,0.0,0.0,0.0
