,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4984.0,16.0,0.0,0.0
2,2,4944.0,56.0,0.0,0.0
3,3,4849.0,151.0,0.0,0.0
4,4,4574.0,426.0,0.0,0.0
5,5,3936.0,1064.0,0.0,0.0
6,6,2638.0,2362.0,0.0,0.0
7,7,1085.0,3915.0,0.0,0.0
8,8,238.0,4762.0,0.0,0.0
9,9,36.0,4964.0,0.0,0.0
10,10,4.0,4995.0,1.0,0.0
11,11,0.0,4994.0,6.0,0.0
12,12,0.0,4987.0,13.0,0.0
13,13,0.0,4962.0,36.0,2.0
14,14,0.0,4901.0,95.0,4.0
15,15,0.0,4727.0,261.0,12.0
16,16,0.0,4325.0,643.0,32.0
17,17,0.0,3641.0,1297.0,62.0
18,18,0.0,2831.0,2075.0,94.0
19,19,0.0,2085.0,2779.0,136.0
20,20,0.0,1358.0,3462.0,180.0
21,21,0.0,663.0,4120.0,217.0
22,22,0.0,241.0,4518.0,241.0
23,23,0.0,57.0,4698.0,245.0
24,24,0.0,6.0,4745.0,249.0
25,25,0.0,1.0,4750.0,249.0
26,26,0.0,0.0,4751.0,249.0
27,27,0.0,0.0,4751.0,249.0
28,28,0.0,0.0,4751.0,249.0
29,29,0.0,0.0,4751.0,249.0
30,30,0.0,0.0,4751.0,249.0
31,31,0.0,0.0,4751.0,249.0
32,32,0.0,0.0,4751.0,249.0
33,33,0.0,0.0,4751.0,249.0
34,34,0.0,0.0,4751.0,249.0
35,35,0.0,0.0,4751.0,249.0
36,36,0.0,0.0,4751.0,249.0
37,37,0.0,0.0,4751.0,249.0
38,38,0.0,0.0,4751.0,249.0
