,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4969.0,31.0,0.0,0.0
2,2,4906.0,94.0,0.0,0.0
3,3,4744.0,256.0,0.0,0.0
4,4,4324.0,676.0,0.0,0.0
5,5,3391.0,1609.0,0.0,0.0
6,6,1890.0,3110.0,0.0,0.0
7,7,575.0,4425.0,0.0,0.0
8,8,100.0,4900.0,0.0,0.0
9,9,13.0,4987.0,0.0,0.0
10,10,2.0,4998.0,0.0,0.0
11,11,1.0,4994.0,5.0,0.0
12,12,0.0,4977.0,23.0,0.0
13,13,0.0,4935.0,63.0,2.0
14,14,0.0,4819.0,174.0,7.0
15,15,0.0,4552.0,427.0,21.0
16,16,0.0,4058.0,904.0,38.0
17,17,0.0,3305.0,1615.0,80.0
18,18,0.0,2488.0,2391.0,121.0
19,19,0.0,1739.0,3102.0,159.0
20,20,0.0,974.0,3821.0,205.0
21,21,0.0,404.0,4360.0,236.0
22,22,0.0,117.0,4629.0,254.0
23,23,0.0,24.0,4714.0,262.0
24,24,0.0,6.0,4732.0,262.0
25,25,0.0,0.0,4738.0,262.0
26,26,0.0,0.0,4738.0,262.0
27,27,0.0,0.0,4738.0,262.0
28,28,0.0,0.0,4738.0,262.0
29,29,0.0,0.0,4738.0,262.0
30,30,0.0,0.0,4738.0,262.0
31,31,0.0,0.0,4738.0,262.0
32,32,0.0,0.0,4738.0,262.0
33,33,0.0,0.0,4738.0,262.0
34,34,0.0,0.0,4738.0,262.0
35,35,0.0,0.0,4738.0,262.0
36,36,0.0,0.0,4738.0,262.0
37,37,0.0,0.0,4738.0,262.0
38,38,0.0,0.0,4738.0,262.0
