,days,H,D,R,T,Iso,L,M,S
0,0,4995.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0
1,1,4982.0,18.0,0.0,0.0,0.0,14.0,4.0,0.0
2,2,4945.0,55.0,0.0,0.0,0.0,45.0,6.0,4.0
3,3,4831.0,169.0,0.0,0.0,0.0,136.0,24.0,9.0
4,4,4489.0,511.0,0.0,0.0,0.0,426.0,62.0,23.0
5,5,3635.0,1365.0,0.0,0.0,5.0,1098.0,194.0,73.0
6,6,2077.0,2923.0,0.0,0.0,18.0,2334.0,430.0,159.0
7,7,536.0,4464.0,0.0,0.0,55.0,3556.0,676.0,232.0
8,8,50.0,4950.0,0.0,0.0,169.0,3957.0,745.0,248.0
9,9,3.0,4997.0,0.0,0.0,511.0,3994.0,751.0,252.0
10,10,0.0,5000.0,0.0,0.0,1365.0,3997.0,751.0,252.0
11,11,0.0,4999.0,1.0,0.0,2922.0,3996.0,751.0,252.0
12,12,0.0,4986.0,14.0,0.0,4450.0,3985.0,750.0,251.0
13,13,0.0,4952.0,46.0,2.0,4902.0,3957.0,746.0,249.0
14,14,0.0,4860.0,131.0,9.0,4857.0,3881.0,734.0,245.0
15,15,0.0,4639.0,344.0,17.0,4639.0,3713.0,698.0,228.0
16,16,0.0,4198.0,760.0,42.0,4198.0,3353.0,636.0,209.0
17,17,0.0,3446.0,1469.0,85.0,3446.0,2751.0,519.0,176.0
18,18,0.0,2622.0,2252.0,126.0,2622.0,2108.0,385.0,129.0
19,19,0.0,1811.0,3006.0,183.0,1811.0,1468.0,261.0,82.0
20,20,0.0,1022.0,3757.0,221.0,1022.0,826.0,151.0,45.0
21,21,0.0,438.0,4308.0,254.0,438.0,340.0,76.0,22.0
22,22,0.0,91.0,4640.0,269.0,91.0,74.0,12.0,5.0
23,23,0.0,7.0,4722.0,271.0,7.0,6.0,1.0,0.0
24,24,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
51,51,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
52,52,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
53,53,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
54,54,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
55,55,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
56,56,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
57,57,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
58,58,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
59,59,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
60,60,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
61,61,0.0,0.0,4729.0,271.0,0.0,0.0,0.0,0.0
