,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4998.0,2.0,0.0,0.0
2,2,4994.0,6.0,0.0,0.0
3,3,4989.0,11.0,0.0,0.0
4,4,4979.0,21.0,0.0,0.0
5,5,4962.0,38.0,0.0,0.0
6,6,4933.0,67.0,0.0,0.0
7,7,4878.0,122.0,0.0,0.0
8,8,4768.0,232.0,0.0,0.0
9,9,4634.0,366.0,0.0,0.0
10,10,4382.0,617.0,0.0,1.0
11,11,3975.0,1024.0,0.0,1.0
12,12,3386.0,1612.0,1.0,1.0
13,13,2608.0,2390.0,1.0,1.0
14,14,1707.0,3289.0,3.0,1.0
15,15,863.0,4130.0,5.0,2.0
16,16,352.0,4630.0,16.0,2.0
17,17,101.0,4859.0,35.0,5.0
18,18,18.0,4898.0,78.0,6.0
19,19,6.0,4849.0,137.0,8.0
20,20,1.0,4758.0,229.0,12.0
21,21,0.0,4599.0,382.0,19.0
22,22,0.0,4331.0,629.0,40.0
23,23,0.0,3957.0,979.0,64.0
24,24,0.0,3448.0,1455.0,97.0
25,25,0.0,2778.0,2089.0,133.0
26,26,0.0,2120.0,2721.0,159.0
27,27,0.0,1446.0,3358.0,196.0
28,28,0.0,909.0,3872.0,219.0
29,29,0.0,505.0,4263.0,232.0
30,30,0.0,218.0,4539.0,243.0
31,31,0.0,81.0,4672.0,247.0
32,32,0.0,22.0,4728.0,250.0
33,33,0.0,5.0,4743.0,252.0
34,34,0.0,0.0,4748.0,252.0
35,35,0.0,0.0,4748.0,252.0
36,36,0.0,0.0,4748.0,252.0
37,37,0.0,0.0,4748.0,252.0
38,38,0.0,0.0,4748.0,252.0
