,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4998.0,2.0,0.0,0.0
2,2,4992.0,8.0,0.0,0.0
3,3,4977.0,23.0,0.0,0.0
4,4,4952.0,48.0,0.0,0.0
5,5,4880.0,120.0,0.0,0.0
6,6,4706.0,294.0,0.0,0.0
7,7,4302.0,698.0,0.0,0.0
8,8,3485.0,1515.0,0.0,0.0
9,9,2055.0,2945.0,0.0,0.0
10,10,613.0,4387.0,0.0,0.0
11,11,59.0,4940.0,0.0,1.0
12,12,2.0,4997.0,0.0,1.0
13,13,0.0,4993.0,5.0,2.0
14,14,0.0,4986.0,11.0,3.0
15,15,0.0,4967.0,29.0,4.0
16,16,0.0,4914.0,79.0,7.0
17,17,0.0,4792.0,192.0,16.0
18,18,0.0,4557.0,417.0,26.0
19,19,0.0,4100.0,846.0,54.0
20,20,0.0,3344.0,1565.0,91.0
21,21,0.0,2549.0,2320.0,131.0
22,22,0.0,1822.0,3006.0,172.0
23,23,0.0,1040.0,3756.0,204.0
24,24,0.0,489.0,4289.0,222.0
25,25,0.0,134.0,4624.0,242.0
26,26,0.0,14.0,4734.0,252.0
27,27,0.0,0.0,4748.0,252.0
28,28,0.0,0.0,4748.0,252.0
29,29,0.0,0.0,4748.0,252.0
30,30,0.0,0.0,4748.0,252.0
31,31,0.0,0.0,4748.0,252.0
32,32,0.0,0.0,4748.0,252.0
33,33,0.0,0.0,4748.0,252.0
34,34,0.0,0.0,4748.0,252.0
35,35,0.0,0.0,4748.0,252.0
36,36,0.0,0.0,4748.0,252.0
37,37,0.0,0.0,4748.0,252.0
38,38,0.0,0.0,4748.0,252.0
