,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4952.0,48.0,0.0,0.0
2,2,4535.0,465.0,0.0,0.0
3,3,1933.0,3067.0,0.0,0.0
4,4,1.0,4999.0,0.0,0.0
5,5,0.0,5000.0,0.0,0.0
6,6,0.0,5000.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4993.0,7.0,0.0
12,12,0.0,4919.0,74.0,7.0
13,13,0.0,4372.0,599.0,29.0
14,14,0.0,3558.0,1372.0,70.0
15,15,0.0,2735.0,2147.0,118.0
16,16,0.0,1934.0,2912.0,154.0
17,17,0.0,1100.0,3703.0,197.0
18,18,0.0,319.0,4446.0,235.0
19,19,0.0,0.0,4756.0,244.0
20,20,0.0,0.0,4756.0,244.0
21,21,0.0,0.0,4756.0,244.0
22,22,0.0,0.0,4756.0,244.0
23,23,0.0,0.0,4756.0,244.0
24,24,0.0,0.0,4756.0,244.0
25,25,0.0,0.0,4756.0,244.0
26,26,0.0,0.0,4756.0,244.0
27,27,0.0,0.0,4756.0,244.0
28,28,0.0,0.0,4756.0,244.0
29,29,0.0,0.0,4756.0,244.0
30,30,0.0,0.0,4756.0,244.0
31,31,0.0,0.0,4756.0,244.0
32,32,0.0,0.0,4756.0,244.0
33,33,0.0,0.0,4756.0,244.0
34,34,0.0,0.0,4756.0,244.0
35,35,0.0,0.0,4756.0,244.0
36,36,0.0,0.0,4756.0,244.0
37,37,0.0,0.0,4756.0,244.0
38,38,0.0,0.0,4756.0,244.0
