,days,H,D,R,T,Iso,L,M,S
0,0,4995.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
1,1,4971.0,29.0,0.0,0.0,0.0,19.0,10.0,0.0
2,2,4834.0,166.0,0.0,0.0,0.0,134.0,25.0,7.0
3,3,4154.0,846.0,0.0,0.0,0.0,689.0,117.0,40.0
4,4,1929.0,3071.0,0.0,0.0,0.0,2442.0,478.0,151.0
5,5,83.0,4917.0,0.0,0.0,5.0,3881.0,786.0,250.0
6,6,0.0,5000.0,0.0,0.0,29.0,3946.0,797.0,257.0
7,7,0.0,5000.0,0.0,0.0,166.0,3946.0,797.0,257.0
8,8,0.0,5000.0,0.0,0.0,846.0,3946.0,797.0,257.0
9,9,0.0,5000.0,0.0,0.0,3071.0,3946.0,797.0,257.0
10,10,0.0,4997.0,3.0,0.0,4914.0,3943.0,797.0,257.0
11,11,0.0,4995.0,5.0,0.0,4995.0,3942.0,796.0,257.0
12,12,0.0,4973.0,26.0,1.0,4973.0,3926.0,791.0,256.0
13,13,0.0,4825.0,168.0,7.0,4825.0,3808.0,767.0,250.0
14,14,0.0,4314.0,665.0,21.0,4314.0,3387.0,699.0,228.0
15,15,0.0,3471.0,1482.0,47.0,3471.0,2712.0,570.0,189.0
16,16,0.0,2572.0,2342.0,86.0,2572.0,2023.0,408.0,141.0
17,17,0.0,1795.0,3094.0,111.0,1795.0,1409.0,291.0,95.0
18,18,0.0,992.0,3869.0,139.0,992.0,779.0,158.0,55.0
19,19,0.0,323.0,4514.0,163.0,323.0,249.0,50.0,24.0
20,20,0.0,15.0,4810.0,175.0,15.0,12.0,2.0,1.0
21,21,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4824.0,176.0,0.0,0.0,0.0,0.0
