,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4987.0,13.0,0.0,0.0
2,2,4881.0,119.0,0.0,0.0
3,3,3902.0,1098.0,0.0,0.0
4,4,496.0,4504.0,0.0,0.0
5,5,0.0,5000.0,0.0,0.0
6,6,0.0,5000.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4999.0,0.0,1.0
12,12,0.0,4977.0,18.0,5.0
13,13,0.0,4785.0,198.0,17.0
14,14,0.0,4020.0,925.0,55.0
15,15,0.0,3161.0,1741.0,98.0
16,16,0.0,2329.0,2539.0,132.0
17,17,0.0,1501.0,3324.0,175.0
18,18,0.0,747.0,4034.0,219.0
19,19,0.0,83.0,4657.0,260.0
20,20,0.0,0.0,4735.0,265.0
21,21,0.0,0.0,4735.0,265.0
22,22,0.0,0.0,4735.0,265.0
23,23,0.0,0.0,4735.0,265.0
24,24,0.0,0.0,4735.0,265.0
25,25,0.0,0.0,4735.0,265.0
26,26,0.0,0.0,4735.0,265.0
27,27,0.0,0.0,4735.0,265.0
28,28,0.0,0.0,4735.0,265.0
29,29,0.0,0.0,4735.0,265.0
30,30,0.0,0.0,4735.0,265.0
31,31,0.0,0.0,4735.0,265.0
32,32,0.0,0.0,4735.0,265.0
33,33,0.0,0.0,4735.0,265.0
34,34,0.0,0.0,4735.0,265.0
35,35,0.0,0.0,4735.0,265.0
36,36,0.0,0.0,4735.0,265.0
37,37,0.0,0.0,4735.0,265.0
38,38,0.0,0.0,4735.0,265.0
