,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4944.0,56.0,0.0,0.0
2,2,4727.0,273.0,0.0,0.0
3,3,3642.0,1358.0,0.0,0.0
4,4,1010.0,3990.0,0.0,0.0
5,5,17.0,4983.0,0.0,0.0
6,6,0.0,5000.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,4998.0,2.0,0.0
11,11,0.0,4988.0,11.0,1.0
12,12,0.0,4949.0,49.0,2.0
13,13,0.0,4699.0,285.0,16.0
14,14,0.0,4050.0,892.0,58.0
15,15,0.0,3190.0,1716.0,94.0
16,16,0.0,2352.0,2522.0,126.0
17,17,0.0,1517.0,3308.0,175.0
18,18,0.0,756.0,4024.0,220.0
19,19,0.0,179.0,4572.0,249.0
20,20,0.0,2.0,4741.0,257.0
21,21,0.0,0.0,4743.0,257.0
22,22,0.0,0.0,4743.0,257.0
23,23,0.0,0.0,4743.0,257.0
24,24,0.0,0.0,4743.0,257.0
25,25,0.0,0.0,4743.0,257.0
26,26,0.0,0.0,4743.0,257.0
27,27,0.0,0.0,4743.0,257.0
28,28,0.0,0.0,4743.0,257.0
29,29,0.0,0.0,4743.0,257.0
30,30,0.0,0.0,4743.0,257.0
31,31,0.0,0.0,4743.0,257.0
32,32,0.0,0.0,4743.0,257.0
33,33,0.0,0.0,4743.0,257.0
34,34,0.0,0.0,4743.0,257.0
35,35,0.0,0.0,4743.0,257.0
36,36,0.0,0.0,4743.0,257.0
37,37,0.0,0.0,4743.0,257.0
38,38,0.0,0.0,4743.0,257.0
