,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4991.0,9.0,0.0,0.0
2,2,4989.0,11.0,0.0,0.0
3,3,4983.0,17.0,0.0,0.0
4,4,4974.0,26.0,0.0,0.0
5,5,4971.0,29.0,0.0,0.0
6,6,4960.0,40.0,0.0,0.0
7,7,4943.0,57.0,0.0,0.0
8,8,4927.0,73.0,0.0,0.0
9,9,4900.0,100.0,0.0,0.0
10,10,4869.0,130.0,1.0,0.0
11,11,4824.0,173.0,3.0,0.0
12,12,4764.0,230.0,6.0,0.0
13,13,4691.0,300.0,9.0,0.0
14,14,4607.0,379.0,13.0,1.0
15,15,4496.0,486.0,16.0,2.0
16,16,4363.0,614.0,21.0,2.0
17,17,4198.0,771.0,29.0,2.0
18,18,3972.0,992.0,34.0,2.0
19,19,3711.0,1237.0,49.0,3.0
20,20,3419.0,1510.0,68.0,3.0
21,21,3104.0,1806.0,86.0,4.0
22,22,2775.0,2100.0,118.0,7.0
23,23,2401.0,2425.0,161.0,13.0
24,24,2027.0,2733.0,222.0,18.0
25,25,1656.0,3040.0,283.0,21.0
26,26,1294.0,3321.0,358.0,27.0
27,27,991.0,3525.0,453.0,31.0
28,28,750.0,3642.0,567.0,41.0
29,29,549.0,3687.0,718.0,46.0
30,30,393.0,3615.0,930.0,62.0
31,31,261.0,3512.0,1150.0,77.0
32,32,173.0,3354.0,1385.0,88.0
33,33,116.0,3133.0,1655.0,96.0
34,34,87.0,2845.0,1957.0,111.0
35,35,69.0,2514.0,2292.0,125.0
36,36,51.0,2180.0,2625.0,144.0
37,37,37.0,1813.0,2992.0,158.0
38,38,32.0,1512.0,3281.0,175.0
