,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4979.0,21.0,0.0,0.0
2,2,4956.0,44.0,0.0,0.0
3,3,4912.0,88.0,0.0,0.0
4,4,4832.0,168.0,0.0,0.0
5,5,4705.0,295.0,0.0,0.0
6,6,4498.0,502.0,0.0,0.0
7,7,4148.0,852.0,0.0,0.0
8,8,3617.0,1383.0,0.0,0.0
9,9,2882.0,2118.0,0.0,0.0
10,10,1941.0,3056.0,2.0,1.0
11,11,1082.0,3912.0,5.0,1.0
12,12,479.0,4510.0,9.0,2.0
13,13,172.0,4797.0,26.0,5.0
14,14,52.0,4882.0,60.0,6.0
15,15,14.0,4869.0,107.0,10.0
16,16,6.0,4791.0,192.0,11.0
17,17,1.0,4668.0,310.0,21.0
18,18,0.0,4467.0,506.0,27.0
19,19,0.0,4133.0,817.0,50.0
20,20,0.0,3644.0,1284.0,72.0
21,21,0.0,3042.0,1855.0,103.0
22,22,0.0,2362.0,2485.0,153.0
23,23,0.0,1657.0,3154.0,189.0
24,24,0.0,1087.0,3706.0,207.0
25,25,0.0,588.0,4185.0,227.0
26,26,0.0,306.0,4452.0,242.0
27,27,0.0,125.0,4628.0,247.0
28,28,0.0,45.0,4706.0,249.0
29,29,0.0,17.0,4734.0,249.0
30,30,0.0,4.0,4746.0,250.0
31,31,0.0,1.0,4749.0,250.0
32,32,0.0,0.0,4750.0,250.0
33,33,0.0,0.0,4750.0,250.0
34,34,0.0,0.0,4750.0,250.0
35,35,0.0,0.0,4750.0,250.0
36,36,0.0,0.0,4750.0,250.0
37,37,0.0,0.0,4750.0,250.0
38,38,0.0,0.0,4750.0,250.0
