,days,H,D,R,T,Iso,L,M,S
0,0,4995.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0
1,1,4986.0,14.0,0.0,0.0,0.0,10.0,4.0,0.0
2,2,4955.0,45.0,0.0,0.0,0.0,35.0,10.0,0.0
3,3,4869.0,131.0,0.0,0.0,0.0,102.0,24.0,5.0
4,4,4645.0,355.0,0.0,0.0,0.0,279.0,61.0,15.0
5,5,4099.0,901.0,0.0,0.0,5.0,718.0,139.0,44.0
6,6,2985.0,2015.0,0.0,0.0,14.0,1615.0,301.0,99.0
7,7,1413.0,3587.0,0.0,0.0,45.0,2877.0,536.0,174.0
8,8,375.0,4625.0,0.0,0.0,131.0,3712.0,682.0,231.0
9,9,60.0,4940.0,0.0,0.0,355.0,3960.0,734.0,246.0
10,10,11.0,4986.0,3.0,0.0,898.0,3992.0,742.0,252.0
11,11,2.0,4992.0,6.0,0.0,2009.0,3995.0,744.0,253.0
12,12,1.0,4987.0,12.0,0.0,3575.0,3991.0,743.0,253.0
13,13,1.0,4961.0,38.0,0.0,4587.0,3968.0,741.0,252.0
14,14,1.0,4895.0,104.0,0.0,4836.0,3915.0,729.0,251.0
15,15,1.0,4753.0,243.0,3.0,4743.0,3807.0,699.0,247.0
16,16,1.0,4415.0,567.0,17.0,4414.0,3535.0,650.0,230.0
17,17,1.0,3867.0,1094.0,38.0,3867.0,3093.0,576.0,198.0
18,18,1.0,3129.0,1803.0,67.0,3129.0,2514.0,455.0,160.0
19,19,1.0,2324.0,2583.0,92.0,2324.0,1871.0,336.0,117.0
20,20,1.0,1500.0,3379.0,120.0,1500.0,1202.0,221.0,77.0
21,21,1.0,814.0,4034.0,151.0,814.0,651.0,126.0,37.0
22,22,1.0,321.0,4514.0,164.0,321.0,262.0,41.0,18.0
23,23,1.0,84.0,4741.0,174.0,84.0,70.0,10.0,4.0
24,24,1.0,12.0,4813.0,174.0,12.0,9.0,1.0,2.0
25,25,1.0,2.0,4823.0,174.0,2.0,2.0,0.0,0.0
26,26,1.0,1.0,4824.0,174.0,1.0,1.0,0.0,0.0
27,27,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
28,28,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
29,29,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
30,30,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
31,31,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
32,32,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
33,33,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
34,34,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
35,35,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
36,36,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
37,37,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
38,38,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
39,39,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
40,40,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
41,41,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
42,42,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
43,43,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
44,44,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
45,45,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
46,46,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
47,47,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
48,48,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
49,49,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
50,50,1.0,0.0,4825.0,174.0,0.0,0.0,0.0,0.0
