,days,H,D,R,T,Iso,L,M,S
0,0,4990.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
1,1,4941.0,59.0,0.0,0.0,0.0,52.0,4.0,3.0
2,2,4678.0,322.0,0.0,0.0,0.0,261.0,47.0,14.0
3,3,3603.0,1397.0,0.0,0.0,0.0,1100.0,219.0,78.0
4,4,1005.0,3995.0,0.0,0.0,0.0,3176.0,610.0,209.0
5,5,16.0,4984.0,0.0,0.0,10.0,3969.0,761.0,254.0
6,6,0.0,5000.0,0.0,0.0,59.0,3981.0,765.0,254.0
7,7,0.0,5000.0,0.0,0.0,322.0,3981.0,765.0,254.0
8,8,0.0,5000.0,0.0,0.0,1397.0,3981.0,765.0,254.0
9,9,0.0,5000.0,0.0,0.0,3995.0,3981.0,765.0,254.0
10,10,0.0,5000.0,0.0,0.0,4984.0,3981.0,765.0,254.0
11,11,0.0,4991.0,8.0,1.0,4991.0,3973.0,765.0,253.0
12,12,0.0,4944.0,55.0,1.0,4944.0,3934.0,759.0,251.0
13,13,0.0,4680.0,312.0,8.0,4680.0,3727.0,712.0,241.0
14,14,0.0,4025.0,948.0,27.0,4025.0,3202.0,617.0,206.0
15,15,0.0,3176.0,1769.0,55.0,3176.0,2521.0,489.0,166.0
16,16,0.0,2355.0,2559.0,86.0,2355.0,1867.0,368.0,120.0
17,17,0.0,1541.0,3344.0,115.0,1541.0,1217.0,252.0,72.0
18,18,0.0,801.0,4060.0,139.0,801.0,644.0,120.0,37.0
19,19,0.0,185.0,4652.0,163.0,185.0,158.0,20.0,7.0
20,20,0.0,1.0,4833.0,166.0,1.0,1.0,0.0,0.0
21,21,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4834.0,166.0,0.0,0.0,0.0,0.0
