,days,H,D,R,T,Iso,L,M,S
0,0,4995.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
1,1,4970.0,30.0,0.0,0.0,0.0,29.0,1.0,0.0
2,2,4852.0,148.0,0.0,0.0,0.0,124.0,22.0,2.0
3,3,4321.0,679.0,0.0,0.0,0.0,546.0,103.0,30.0
4,4,2449.0,2551.0,0.0,0.0,0.0,2058.0,373.0,120.0
5,5,204.0,4796.0,0.0,0.0,5.0,3820.0,740.0,236.0
6,6,1.0,4999.0,0.0,0.0,30.0,3983.0,770.0,246.0
7,7,0.0,5000.0,0.0,0.0,148.0,3984.0,770.0,246.0
8,8,0.0,5000.0,0.0,0.0,679.0,3984.0,770.0,246.0
9,9,0.0,5000.0,0.0,0.0,2551.0,3984.0,770.0,246.0
10,10,0.0,5000.0,0.0,0.0,4796.0,3984.0,770.0,246.0
11,11,0.0,4993.0,7.0,0.0,4992.0,3977.0,770.0,246.0
12,12,0.0,4970.0,29.0,1.0,4970.0,3961.0,764.0,245.0
13,13,0.0,4868.0,129.0,3.0,4868.0,3876.0,749.0,243.0
14,14,0.0,4430.0,558.0,12.0,4430.0,3508.0,692.0,230.0
15,15,0.0,3660.0,1296.0,44.0,3660.0,2897.0,579.0,184.0
16,16,0.0,2867.0,2060.0,73.0,2867.0,2269.0,456.0,142.0
17,17,0.0,2016.0,2879.0,105.0,2016.0,1599.0,320.0,97.0
18,18,0.0,1185.0,3683.0,132.0,1185.0,938.0,187.0,60.0
19,19,0.0,426.0,4414.0,160.0,426.0,342.0,64.0,20.0
20,20,0.0,29.0,4797.0,174.0,29.0,18.0,10.0,1.0
21,21,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
