,days,H,D,R,T,Iso,L,M,S
0,0,4995.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
1,1,4994.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
2,2,4992.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
3,3,4991.0,9.0,0.0,0.0,0.0,8.0,1.0,0.0
4,4,4988.0,12.0,0.0,0.0,0.0,11.0,1.0,0.0
5,5,4986.0,14.0,0.0,0.0,5.0,13.0,1.0,0.0
6,6,4982.0,18.0,0.0,0.0,6.0,16.0,1.0,1.0
7,7,4979.0,21.0,0.0,0.0,8.0,19.0,1.0,1.0
8,8,4974.0,26.0,0.0,0.0,9.0,23.0,2.0,1.0
9,9,4971.0,29.0,0.0,0.0,12.0,25.0,3.0,1.0
10,10,4968.0,32.0,0.0,0.0,14.0,27.0,4.0,1.0
11,11,4963.0,36.0,1.0,0.0,17.0,31.0,4.0,1.0
12,12,4961.0,37.0,2.0,0.0,19.0,32.0,4.0,1.0
13,13,4955.0,42.0,3.0,0.0,23.0,35.0,6.0,1.0
14,14,4950.0,45.0,5.0,0.0,24.0,38.0,6.0,1.0
15,15,4949.0,40.0,11.0,0.0,21.0,33.0,6.0,1.0
16,16,4943.0,44.0,12.0,1.0,24.0,38.0,6.0,0.0
17,17,4939.0,48.0,12.0,1.0,26.0,40.0,7.0,1.0
18,18,4932.0,53.0,14.0,1.0,30.0,45.0,7.0,1.0
19,19,4925.0,54.0,20.0,1.0,29.0,45.0,8.0,1.0
20,20,4914.0,60.0,25.0,1.0,25.0,51.0,8.0,1.0
21,21,4909.0,62.0,28.0,1.0,28.0,53.0,8.0,1.0
22,22,4892.0,77.0,30.0,1.0,30.0,65.0,9.0,3.0
23,23,4881.0,87.0,31.0,1.0,36.0,75.0,9.0,3.0
24,24,4865.0,100.0,34.0,1.0,40.0,86.0,9.0,5.0
25,25,4846.0,116.0,37.0,1.0,48.0,98.0,12.0,6.0
26,26,4824.0,132.0,43.0,1.0,47.0,107.0,18.0,7.0
27,27,4808.0,142.0,49.0,1.0,58.0,115.0,20.0,7.0
28,28,4789.0,155.0,55.0,1.0,63.0,129.0,19.0,7.0
29,29,4759.0,178.0,62.0,1.0,72.0,147.0,22.0,9.0
30,30,4735.0,198.0,66.0,1.0,87.0,160.0,26.0,12.0
31,31,4704.0,224.0,71.0,1.0,104.0,180.0,32.0,12.0
32,32,4666.0,252.0,81.0,1.0,110.0,200.0,37.0,15.0
33,33,4639.0,272.0,88.0,1.0,122.0,214.0,43.0,15.0
34,34,4592.0,312.0,95.0,1.0,145.0,245.0,51.0,16.0
35,35,4543.0,338.0,116.0,3.0,146.0,271.0,53.0,14.0
36,36,4489.0,375.0,132.0,4.0,160.0,300.0,59.0,16.0
37,37,4441.0,404.0,151.0,4.0,179.0,321.0,65.0,18.0
38,38,4390.0,442.0,164.0,4.0,193.0,353.0,71.0,18.0
39,39,4323.0,487.0,186.0,4.0,218.0,393.0,75.0,19.0
40,40,4252.0,534.0,209.0,5.0,243.0,435.0,78.0,21.0
41,41,4192.0,571.0,232.0,5.0,274.0,459.0,89.0,23.0
42,42,4102.0,643.0,249.0,6.0,304.0,518.0,99.0,26.0
43,43,4016.0,699.0,279.0,6.0,325.0,564.0,104.0,31.0
44,44,3918.0,768.0,307.0,7.0,363.0,619.0,116.0,33.0
45,45,3823.0,820.0,347.0,10.0,391.0,650.0,133.0,37.0
46,46,3724.0,886.0,379.0,11.0,418.0,705.0,140.0,41.0
47,47,3603.0,961.0,424.0,12.0,462.0,769.0,146.0,46.0
48,48,3473.0,1046.0,469.0,12.0,503.0,837.0,154.0,55.0
49,49,3344.0,1123.0,519.0,14.0,549.0,895.0,170.0,58.0
50,50,3213.0,1201.0,571.0,15.0,591.0,963.0,176.0,62.0
