,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4998.0,2.0,0.0,0.0
2,2,4997.0,3.0,0.0,0.0
3,3,4996.0,4.0,0.0,0.0
4,4,4991.0,9.0,0.0,0.0
5,5,4977.0,23.0,0.0,0.0
6,6,4965.0,35.0,0.0,0.0
7,7,4932.0,68.0,0.0,0.0
8,8,4885.0,115.0,0.0,0.0
9,9,4794.0,206.0,0.0,0.0
10,10,4634.0,366.0,0.0,0.0
11,11,4382.0,618.0,0.0,0.0
12,12,3965.0,1035.0,0.0,0.0
13,13,3328.0,1670.0,2.0,0.0
14,14,2514.0,2483.0,3.0,0.0
15,15,1640.0,3354.0,6.0,0.0
16,16,905.0,4086.0,9.0,0.0
17,17,414.0,4570.0,14.0,2.0
18,18,171.0,4789.0,37.0,3.0
19,19,60.0,4863.0,72.0,5.0
20,20,22.0,4842.0,128.0,8.0
21,21,11.0,4752.0,224.0,13.0
22,22,5.0,4607.0,369.0,19.0
23,23,1.0,4354.0,619.0,26.0
24,24,1.0,3942.0,1009.0,48.0
25,25,1.0,3414.0,1503.0,82.0
26,26,1.0,2809.0,2078.0,112.0
27,27,0.0,2128.0,2725.0,147.0
28,28,0.0,1508.0,3308.0,184.0
29,29,0.0,950.0,3838.0,212.0
30,30,0.0,555.0,4219.0,226.0
31,31,0.0,265.0,4492.0,243.0
32,32,0.0,111.0,4638.0,251.0
33,33,0.0,48.0,4697.0,255.0
34,34,0.0,12.0,4732.0,256.0
35,35,0.0,6.0,4738.0,256.0
36,36,0.0,3.0,4740.0,257.0
37,37,0.0,2.0,4741.0,257.0
38,38,0.0,1.0,4742.0,257.0
