,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4996.0,4.0,0.0,0.0
2,2,4979.0,21.0,0.0,0.0
3,3,4885.0,115.0,0.0,0.0
4,4,4379.0,621.0,0.0,0.0
5,5,2471.0,2529.0,0.0,0.0
6,6,186.0,4814.0,0.0,0.0
7,7,1.0,4999.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4999.0,1.0,0.0
12,12,0.0,4993.0,6.0,1.0
13,13,0.0,4972.0,27.0,1.0
14,14,0.0,4881.0,114.0,5.0
15,15,0.0,4422.0,549.0,29.0
16,16,0.0,3632.0,1306.0,62.0
17,17,0.0,2834.0,2071.0,95.0
18,18,0.0,1997.0,2881.0,122.0
19,19,0.0,1155.0,3681.0,164.0
20,20,0.0,423.0,4374.0,203.0
21,21,0.0,34.0,4748.0,218.0
22,22,0.0,0.0,4782.0,218.0
23,23,0.0,0.0,4782.0,218.0
24,24,0.0,0.0,4782.0,218.0
25,25,0.0,0.0,4782.0,218.0
26,26,0.0,0.0,4782.0,218.0
27,27,0.0,0.0,4782.0,218.0
28,28,0.0,0.0,4782.0,218.0
29,29,0.0,0.0,4782.0,218.0
30,30,0.0,0.0,4782.0,218.0
31,31,0.0,0.0,4782.0,218.0
32,32,0.0,0.0,4782.0,218.0
33,33,0.0,0.0,4782.0,218.0
34,34,0.0,0.0,4782.0,218.0
35,35,0.0,0.0,4782.0,218.0
36,36,0.0,0.0,4782.0,218.0
37,37,0.0,0.0,4782.0,218.0
38,38,0.0,0.0,4782.0,218.0
