,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4989.0,11.0,0.0,0.0
2,2,4981.0,19.0,0.0,0.0
3,3,4972.0,28.0,0.0,0.0
4,4,4946.0,54.0,0.0,0.0
5,5,4900.0,100.0,0.0,0.0
6,6,4812.0,188.0,0.0,0.0
7,7,4690.0,310.0,0.0,0.0
8,8,4491.0,509.0,0.0,0.0
9,9,4135.0,865.0,0.0,0.0
10,10,3580.0,1419.0,1.0,0.0
11,11,2826.0,2170.0,4.0,0.0
12,12,1920.0,3074.0,6.0,0.0
13,13,1095.0,3893.0,12.0,0.0
14,14,476.0,4503.0,21.0,0.0
15,15,171.0,4793.0,34.0,2.0
16,16,43.0,4895.0,60.0,2.0
17,17,10.0,4875.0,110.0,5.0
18,18,3.0,4805.0,182.0,10.0
19,19,1.0,4662.0,320.0,17.0
20,20,0.0,4447.0,526.0,27.0
21,21,0.0,4118.0,843.0,39.0
22,22,0.0,3638.0,1292.0,70.0
23,23,0.0,3036.0,1870.0,94.0
24,24,0.0,2363.0,2509.0,128.0
25,25,0.0,1670.0,3183.0,147.0
26,26,0.0,1078.0,3749.0,173.0
27,27,0.0,639.0,4157.0,204.0
28,28,0.0,316.0,4467.0,217.0
29,29,0.0,116.0,4657.0,227.0
30,30,0.0,41.0,4732.0,227.0
31,31,0.0,11.0,4760.0,229.0
32,32,0.0,4.0,4766.0,230.0
33,33,0.0,2.0,4768.0,230.0
34,34,0.0,0.0,4769.0,231.0
35,35,0.0,0.0,4769.0,231.0
36,36,0.0,0.0,4769.0,231.0
37,37,0.0,0.0,4769.0,231.0
38,38,0.0,0.0,4769.0,231.0
