,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4963.0,37.0,0.0,0.0
2,2,4897.0,103.0,0.0,0.0
3,3,4738.0,262.0,0.0,0.0
4,4,4369.0,631.0,0.0,0.0
5,5,3586.0,1414.0,0.0,0.0
6,6,2261.0,2739.0,0.0,0.0
7,7,804.0,4196.0,0.0,0.0
8,8,96.0,4904.0,0.0,0.0
9,9,7.0,4993.0,0.0,0.0
10,10,0.0,4998.0,2.0,0.0
11,11,0.0,4995.0,5.0,0.0
12,12,0.0,4977.0,22.0,1.0
13,13,0.0,4932.0,64.0,4.0
14,14,0.0,4842.0,151.0,7.0
15,15,0.0,4601.0,373.0,26.0
16,16,0.0,4133.0,810.0,57.0
17,17,0.0,3487.0,1413.0,100.0
18,18,0.0,2682.0,2174.0,144.0
19,19,0.0,1879.0,2944.0,177.0
20,20,0.0,1120.0,3673.0,207.0
21,21,0.0,515.0,4252.0,233.0
22,22,0.0,136.0,4608.0,256.0
23,23,0.0,21.0,4714.0,265.0
24,24,0.0,1.0,4732.0,267.0
25,25,0.0,0.0,4732.0,268.0
26,26,0.0,0.0,4732.0,268.0
27,27,0.0,0.0,4732.0,268.0
28,28,0.0,0.0,4732.0,268.0
29,29,0.0,0.0,4732.0,268.0
30,30,0.0,0.0,4732.0,268.0
31,31,0.0,0.0,4732.0,268.0
32,32,0.0,0.0,4732.0,268.0
33,33,0.0,0.0,4732.0,268.0
34,34,0.0,0.0,4732.0,268.0
35,35,0.0,0.0,4732.0,268.0
36,36,0.0,0.0,4732.0,268.0
37,37,0.0,0.0,4732.0,268.0
38,38,0.0,0.0,4732.0,268.0
