,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4965.0,35.0,0.0,0.0
2,2,4812.0,188.0,0.0,0.0
3,3,4104.0,896.0,0.0,0.0
4,4,1786.0,3214.0,0.0,0.0
5,5,70.0,4930.0,0.0,0.0
6,6,1.0,4999.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4992.0,8.0,0.0
12,12,0.0,4961.0,38.0,1.0
13,13,0.0,4847.0,147.0,6.0
14,14,0.0,4321.0,652.0,27.0
15,15,0.0,3515.0,1425.0,60.0
16,16,0.0,2667.0,2229.0,104.0
17,17,0.0,1850.0,3008.0,142.0
18,18,0.0,982.0,3837.0,181.0
19,19,0.0,303.0,4481.0,216.0
20,20,0.0,11.0,4765.0,224.0
21,21,0.0,0.0,4774.0,226.0
22,22,0.0,0.0,4774.0,226.0
23,23,0.0,0.0,4774.0,226.0
24,24,0.0,0.0,4774.0,226.0
25,25,0.0,0.0,4774.0,226.0
26,26,0.0,0.0,4774.0,226.0
27,27,0.0,0.0,4774.0,226.0
28,28,0.0,0.0,4774.0,226.0
29,29,0.0,0.0,4774.0,226.0
30,30,0.0,0.0,4774.0,226.0
31,31,0.0,0.0,4774.0,226.0
32,32,0.0,0.0,4774.0,226.0
33,33,0.0,0.0,4774.0,226.0
34,34,0.0,0.0,4774.0,226.0
35,35,0.0,0.0,4774.0,226.0
36,36,0.0,0.0,4774.0,226.0
37,37,0.0,0.0,4774.0,226.0
38,38,0.0,0.0,4774.0,226.0
