,days,H,D,R,T,Iso,L,M,S
0,0,4999.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,4994.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0
2,2,4987.0,13.0,0.0,0.0,0.0,10.0,2.0,1.0
3,3,4961.0,39.0,0.0,0.0,0.0,31.0,5.0,3.0
4,4,4880.0,120.0,0.0,0.0,0.0,98.0,14.0,8.0
5,5,4674.0,326.0,0.0,0.0,1.0,260.0,47.0,19.0
6,6,4061.0,939.0,0.0,0.0,6.0,768.0,122.0,49.0
7,7,2744.0,2256.0,0.0,0.0,13.0,1805.0,336.0,115.0
8,8,1023.0,3977.0,0.0,0.0,39.0,3179.0,600.0,198.0
9,9,162.0,4838.0,0.0,0.0,120.0,3854.0,746.0,238.0
10,10,12.0,4988.0,0.0,0.0,326.0,3968.0,771.0,249.0
11,11,0.0,4999.0,1.0,0.0,938.0,3979.0,771.0,249.0
12,12,0.0,4997.0,3.0,0.0,2253.0,3978.0,770.0,249.0
13,13,0.0,4987.0,12.0,1.0,3964.0,3968.0,770.0,249.0
14,14,0.0,4966.0,32.0,2.0,4804.0,3951.0,768.0,247.0
15,15,0.0,4906.0,88.0,6.0,4894.0,3911.0,755.0,240.0
16,16,0.0,4754.0,235.0,11.0,4754.0,3785.0,734.0,235.0
17,17,0.0,4382.0,591.0,27.0,4382.0,3484.0,679.0,219.0
18,18,0.0,3757.0,1187.0,56.0,3757.0,2995.0,583.0,179.0
19,19,0.0,2941.0,1957.0,102.0,2941.0,2337.0,472.0,132.0
20,20,0.0,2133.0,2731.0,136.0,2133.0,1689.0,343.0,101.0
21,21,0.0,1321.0,3495.0,184.0,1321.0,1040.0,217.0,64.0
22,22,0.0,672.0,4104.0,224.0,672.0,526.0,114.0,32.0
23,23,0.0,197.0,4555.0,248.0,197.0,158.0,31.0,8.0
24,24,0.0,31.0,4712.0,257.0,31.0,23.0,3.0,5.0
25,25,0.0,2.0,4738.0,260.0,2.0,2.0,0.0,0.0
26,26,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
51,51,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
52,52,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
53,53,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
54,54,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
55,55,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
56,56,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
57,57,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
58,58,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
59,59,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
60,60,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
61,61,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
62,62,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
63,63,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
64,64,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
65,65,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
66,66,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
67,67,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
68,68,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
69,69,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
70,70,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
71,71,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
72,72,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
73,73,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
74,74,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
75,75,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
76,76,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
77,77,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
78,78,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
79,79,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
80,80,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
81,81,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
82,82,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
83,83,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
84,84,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
85,85,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
86,86,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
87,87,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
88,88,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
89,89,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
90,90,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
91,91,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
92,92,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
93,93,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
94,94,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
95,95,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
96,96,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
97,97,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
98,98,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
99,99,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
100,100,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
101,101,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
102,102,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
103,103,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
104,104,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
105,105,0.0,0.0,4739.0,261.0,0.0,0.0,0.0,0.0
