,days,H,D,R,T,Iso,L,M,S
0,0,4999.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,4989.0,11.0,0.0,0.0,0.0,8.0,3.0,0.0
2,2,4893.0,107.0,0.0,0.0,0.0,90.0,17.0,0.0
3,3,4060.0,940.0,0.0,0.0,0.0,760.0,150.0,30.0
4,4,627.0,4373.0,0.0,0.0,0.0,3496.0,642.0,235.0
5,5,0.0,5000.0,0.0,0.0,1.0,3999.0,737.0,264.0
6,6,0.0,5000.0,0.0,0.0,11.0,3999.0,737.0,264.0
7,7,0.0,5000.0,0.0,0.0,107.0,3999.0,737.0,264.0
8,8,0.0,5000.0,0.0,0.0,940.0,3999.0,737.0,264.0
9,9,0.0,5000.0,0.0,0.0,4373.0,3999.0,737.0,264.0
10,10,0.0,4999.0,1.0,0.0,4999.0,3999.0,736.0,264.0
11,11,0.0,4998.0,2.0,0.0,4998.0,3999.0,735.0,264.0
12,12,0.0,4985.0,15.0,0.0,4985.0,3987.0,734.0,264.0
13,13,0.0,4842.0,156.0,2.0,4842.0,3868.0,714.0,260.0
14,14,0.0,4101.0,866.0,33.0,4101.0,3265.0,612.0,224.0
15,15,0.0,3286.0,1655.0,59.0,3286.0,2623.0,482.0,181.0
16,16,0.0,2431.0,2484.0,85.0,2431.0,1931.0,359.0,141.0
17,17,0.0,1593.0,3298.0,109.0,1593.0,1252.0,238.0,103.0
18,18,0.0,733.0,4127.0,140.0,733.0,564.0,119.0,50.0
19,19,0.0,114.0,4715.0,171.0,114.0,94.0,16.0,4.0
20,20,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
21,21,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4826.0,174.0,0.0,0.0,0.0,0.0
