,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4938.0,62.0,0.0,0.0
2,2,4679.0,321.0,0.0,0.0
3,3,3609.0,1391.0,0.0,0.0
4,4,1057.0,3943.0,0.0,0.0
5,5,22.0,4978.0,0.0,0.0
6,6,0.0,5000.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,4997.0,3.0,0.0
11,11,0.0,4991.0,9.0,0.0
12,12,0.0,4930.0,70.0,0.0
13,13,0.0,4694.0,296.0,10.0
14,14,0.0,4046.0,906.0,48.0
15,15,0.0,3214.0,1689.0,97.0
16,16,0.0,2390.0,2467.0,143.0
17,17,0.0,1582.0,3238.0,180.0
18,18,0.0,815.0,3971.0,214.0
19,19,0.0,177.0,4577.0,246.0
20,20,0.0,4.0,4743.0,253.0
21,21,0.0,0.0,4747.0,253.0
22,22,0.0,0.0,4747.0,253.0
23,23,0.0,0.0,4747.0,253.0
24,24,0.0,0.0,4747.0,253.0
25,25,0.0,0.0,4747.0,253.0
26,26,0.0,0.0,4747.0,253.0
27,27,0.0,0.0,4747.0,253.0
28,28,0.0,0.0,4747.0,253.0
29,29,0.0,0.0,4747.0,253.0
30,30,0.0,0.0,4747.0,253.0
31,31,0.0,0.0,4747.0,253.0
32,32,0.0,0.0,4747.0,253.0
33,33,0.0,0.0,4747.0,253.0
34,34,0.0,0.0,4747.0,253.0
35,35,0.0,0.0,4747.0,253.0
36,36,0.0,0.0,4747.0,253.0
37,37,0.0,0.0,4747.0,253.0
38,38,0.0,0.0,4747.0,253.0
