,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4984.0,16.0,0.0,0.0
2,2,4945.0,55.0,0.0,0.0
3,3,4836.0,164.0,0.0,0.0
4,4,4523.0,477.0,0.0,0.0
5,5,3693.0,1307.0,0.0,0.0
6,6,2134.0,2866.0,0.0,0.0
7,7,528.0,4472.0,0.0,0.0
8,8,42.0,4958.0,0.0,0.0
9,9,2.0,4998.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4998.0,2.0,0.0
12,12,0.0,4991.0,8.0,1.0
13,13,0.0,4966.0,31.0,3.0
14,14,0.0,4892.0,102.0,6.0
15,15,0.0,4671.0,313.0,16.0
16,16,0.0,4197.0,763.0,40.0
17,17,0.0,3454.0,1472.0,74.0
18,18,0.0,2645.0,2240.0,115.0
19,19,0.0,1808.0,3031.0,161.0
20,20,0.0,1084.0,3717.0,199.0
21,21,0.0,435.0,4335.0,230.0
22,22,0.0,108.0,4649.0,243.0
23,23,0.0,10.0,4740.0,250.0
24,24,0.0,0.0,4750.0,250.0
25,25,0.0,0.0,4750.0,250.0
26,26,0.0,0.0,4750.0,250.0
27,27,0.0,0.0,4750.0,250.0
28,28,0.0,0.0,4750.0,250.0
29,29,0.0,0.0,4750.0,250.0
30,30,0.0,0.0,4750.0,250.0
31,31,0.0,0.0,4750.0,250.0
32,32,0.0,0.0,4750.0,250.0
33,33,0.0,0.0,4750.0,250.0
34,34,0.0,0.0,4750.0,250.0
35,35,0.0,0.0,4750.0,250.0
36,36,0.0,0.0,4750.0,250.0
37,37,0.0,0.0,4750.0,250.0
38,38,0.0,0.0,4750.0,250.0
