,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4976.0,24.0,0.0,0.0
2,2,4933.0,67.0,0.0,0.0
3,3,4830.0,170.0,0.0,0.0
4,4,4591.0,409.0,0.0,0.0
5,5,4069.0,931.0,0.0,0.0
6,6,3036.0,1964.0,0.0,0.0
7,7,1515.0,3485.0,0.0,0.0
8,8,318.0,4682.0,0.0,0.0
9,9,22.0,4978.0,0.0,0.0
10,10,0.0,4999.0,0.0,1.0
11,11,0.0,4996.0,3.0,1.0
12,12,0.0,4989.0,9.0,2.0
13,13,0.0,4963.0,33.0,4.0
14,14,0.0,4892.0,104.0,4.0
15,15,0.0,4729.0,259.0,12.0
16,16,0.0,4393.0,577.0,30.0
17,17,0.0,3862.0,1079.0,59.0
18,18,0.0,3084.0,1812.0,104.0
19,19,0.0,2249.0,2597.0,154.0
20,20,0.0,1479.0,3317.0,204.0
21,21,0.0,833.0,3931.0,236.0
22,22,0.0,316.0,4420.0,264.0
23,23,0.0,61.0,4659.0,280.0
24,24,0.0,2.0,4716.0,282.0
25,25,0.0,0.0,4718.0,282.0
26,26,0.0,0.0,4718.0,282.0
27,27,0.0,0.0,4718.0,282.0
28,28,0.0,0.0,4718.0,282.0
29,29,0.0,0.0,4718.0,282.0
30,30,0.0,0.0,4718.0,282.0
31,31,0.0,0.0,4718.0,282.0
32,32,0.0,0.0,4718.0,282.0
33,33,0.0,0.0,4718.0,282.0
34,34,0.0,0.0,4718.0,282.0
35,35,0.0,0.0,4718.0,282.0
36,36,0.0,0.0,4718.0,282.0
37,37,0.0,0.0,4718.0,282.0
38,38,0.0,0.0,4718.0,282.0
