,days,H,D,R,T,Iso,L,M,S
0,0,4990.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
1,1,4983.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
2,2,4978.0,22.0,0.0,0.0,0.0,21.0,1.0,0.0
3,3,4973.0,27.0,0.0,0.0,0.0,26.0,1.0,0.0
4,4,4960.0,40.0,0.0,0.0,0.0,37.0,3.0,0.0
5,5,4956.0,44.0,0.0,0.0,10.0,41.0,3.0,0.0
6,6,4947.0,53.0,0.0,0.0,17.0,48.0,5.0,0.0
7,7,4934.0,66.0,0.0,0.0,22.0,58.0,8.0,0.0
8,8,4915.0,85.0,0.0,0.0,27.0,73.0,10.0,2.0
9,9,4902.0,98.0,0.0,0.0,40.0,85.0,10.0,3.0
10,10,4884.0,115.0,1.0,0.0,43.0,95.0,16.0,4.0
11,11,4856.0,141.0,3.0,0.0,50.0,114.0,23.0,4.0
12,12,4829.0,164.0,7.0,0.0,59.0,132.0,27.0,5.0
13,13,4796.0,196.0,8.0,0.0,77.0,154.0,36.0,6.0
14,14,4766.0,216.0,18.0,0.0,80.0,168.0,41.0,7.0
15,15,4723.0,250.0,27.0,0.0,89.0,195.0,47.0,8.0
16,16,4681.0,286.0,33.0,0.0,111.0,221.0,54.0,11.0
17,17,4631.0,327.0,42.0,0.0,129.0,261.0,55.0,11.0
18,18,4577.0,369.0,54.0,0.0,150.0,290.0,63.0,16.0
19,19,4518.0,418.0,62.0,2.0,170.0,332.0,69.0,17.0
20,20,4456.0,468.0,73.0,3.0,201.0,375.0,75.0,18.0
21,21,4384.0,520.0,93.0,3.0,223.0,421.0,77.0,22.0
22,22,4293.0,593.0,110.0,4.0,255.0,473.0,96.0,24.0
23,23,4209.0,657.0,130.0,4.0,289.0,523.0,106.0,28.0
24,24,4105.0,737.0,154.0,4.0,324.0,582.0,121.0,34.0
25,25,4017.0,791.0,188.0,4.0,352.0,626.0,131.0,34.0
26,26,3910.0,865.0,219.0,6.0,391.0,689.0,137.0,39.0
27,27,3810.0,931.0,252.0,7.0,448.0,751.0,138.0,42.0
28,28,3681.0,1030.0,281.0,8.0,502.0,821.0,162.0,47.0
29,29,3557.0,1104.0,327.0,12.0,556.0,889.0,163.0,52.0
30,30,3413.0,1192.0,381.0,14.0,588.0,965.0,176.0,51.0
31,31,3280.0,1270.0,436.0,14.0,640.0,1028.0,186.0,56.0
32,32,3141.0,1340.0,503.0,16.0,671.0,1081.0,198.0,61.0
33,33,3013.0,1397.0,569.0,21.0,729.0,1120.0,209.0,68.0
34,34,2895.0,1441.0,642.0,22.0,779.0,1152.0,218.0,71.0
35,35,2763.0,1473.0,739.0,25.0,823.0,1195.0,207.0,71.0
36,36,2631.0,1515.0,825.0,29.0,866.0,1233.0,209.0,73.0
37,37,2518.0,1532.0,920.0,30.0,909.0,1248.0,211.0,73.0
38,38,2411.0,1544.0,1013.0,32.0,942.0,1266.0,205.0,73.0
39,39,2313.0,1538.0,1115.0,34.0,956.0,1265.0,200.0,73.0
40,40,2217.0,1520.0,1225.0,38.0,974.0,1250.0,198.0,72.0
41,41,2123.0,1468.0,1367.0,42.0,960.0,1207.0,192.0,69.0
42,42,2043.0,1435.0,1474.0,48.0,960.0,1175.0,193.0,67.0
43,43,1972.0,1397.0,1580.0,51.0,958.0,1141.0,192.0,64.0
44,44,1904.0,1325.0,1716.0,55.0,916.0,1088.0,178.0,59.0
45,45,1851.0,1219.0,1867.0,63.0,853.0,1008.0,162.0,49.0
46,46,1804.0,1150.0,1978.0,68.0,831.0,948.0,155.0,47.0
47,47,1764.0,1061.0,2103.0,72.0,782.0,871.0,144.0,46.0
48,48,1719.0,997.0,2210.0,74.0,744.0,815.0,140.0,42.0
49,49,1691.0,917.0,2315.0,77.0,704.0,747.0,133.0,37.0
50,50,1662.0,820.0,2440.0,78.0,631.0,663.0,123.0,34.0
