,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4998.0,2.0,0.0,0.0
2,2,4996.0,4.0,0.0,0.0
3,3,4995.0,5.0,0.0,0.0
4,4,4995.0,5.0,0.0,0.0
5,5,4993.0,7.0,0.0,0.0
6,6,4990.0,10.0,0.0,0.0
7,7,4988.0,12.0,0.0,0.0
8,8,4987.0,13.0,0.0,0.0
9,9,4983.0,17.0,0.0,0.0
10,10,4981.0,19.0,0.0,0.0
11,11,4976.0,24.0,0.0,0.0
12,12,4969.0,31.0,0.0,0.0
13,13,4960.0,38.0,2.0,0.0
14,14,4951.0,46.0,3.0,0.0
15,15,4941.0,56.0,3.0,0.0
16,16,4922.0,74.0,4.0,0.0
17,17,4906.0,89.0,5.0,0.0
18,18,4880.0,110.0,9.0,1.0
19,19,4848.0,141.0,10.0,1.0
20,20,4807.0,181.0,11.0,1.0
21,21,4755.0,231.0,13.0,1.0
22,22,4689.0,295.0,15.0,1.0
23,23,4613.0,367.0,18.0,2.0
24,24,4508.0,468.0,22.0,2.0
25,25,4378.0,591.0,28.0,3.0
26,26,4217.0,738.0,39.0,6.0
27,27,4046.0,899.0,49.0,6.0
28,28,3842.0,1086.0,66.0,6.0
29,29,3578.0,1329.0,86.0,7.0
30,30,3267.0,1616.0,109.0,8.0
31,31,2942.0,1905.0,143.0,10.0
32,32,2585.0,2222.0,181.0,12.0
33,33,2242.0,2517.0,225.0,16.0
34,34,1844.0,2860.0,277.0,19.0
35,35,1469.0,3167.0,343.0,21.0
36,36,1154.0,3392.0,427.0,27.0
37,37,860.0,3560.0,546.0,34.0
38,38,637.0,3631.0,693.0,39.0
