,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4993.0,7.0,0.0,0.0
2,2,4956.0,44.0,0.0,0.0
3,3,4773.0,227.0,0.0,0.0
4,4,3839.0,1161.0,0.0,0.0
5,5,1245.0,3755.0,0.0,0.0
6,6,18.0,4982.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4999.0,1.0,0.0
12,12,0.0,4993.0,7.0,0.0
13,13,0.0,4950.0,47.0,3.0
14,14,0.0,4736.0,253.0,11.0
15,15,0.0,4117.0,847.0,36.0
16,16,0.0,3291.0,1641.0,68.0
17,17,0.0,2455.0,2438.0,107.0
18,18,0.0,1661.0,3191.0,148.0
19,19,0.0,871.0,3942.0,187.0
20,20,0.0,203.0,4567.0,230.0
21,21,0.0,2.0,4758.0,240.0
22,22,0.0,0.0,4760.0,240.0
23,23,0.0,0.0,4760.0,240.0
24,24,0.0,0.0,4760.0,240.0
25,25,0.0,0.0,4760.0,240.0
26,26,0.0,0.0,4760.0,240.0
27,27,0.0,0.0,4760.0,240.0
28,28,0.0,0.0,4760.0,240.0
29,29,0.0,0.0,4760.0,240.0
30,30,0.0,0.0,4760.0,240.0
31,31,0.0,0.0,4760.0,240.0
32,32,0.0,0.0,4760.0,240.0
33,33,0.0,0.0,4760.0,240.0
34,34,0.0,0.0,4760.0,240.0
35,35,0.0,0.0,4760.0,240.0
36,36,0.0,0.0,4760.0,240.0
37,37,0.0,0.0,4760.0,240.0
38,38,0.0,0.0,4760.0,240.0
