,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4978.0,22.0,0.0,0.0
2,2,4963.0,37.0,0.0,0.0
3,3,4932.0,68.0,0.0,0.0
4,4,4882.0,118.0,0.0,0.0
5,5,4814.0,186.0,0.0,0.0
6,6,4659.0,341.0,0.0,0.0
7,7,4405.0,595.0,0.0,0.0
8,8,4036.0,964.0,0.0,0.0
9,9,3402.0,1598.0,0.0,0.0
10,10,2638.0,2361.0,1.0,0.0
11,11,1757.0,3236.0,7.0,0.0
12,12,963.0,4023.0,14.0,0.0
13,13,435.0,4539.0,26.0,0.0
14,14,193.0,4763.0,43.0,1.0
15,15,71.0,4849.0,78.0,2.0
16,16,21.0,4852.0,119.0,8.0
17,17,9.0,4774.0,206.0,11.0
18,18,2.0,4634.0,351.0,13.0
19,19,0.0,4382.0,583.0,35.0
20,20,0.0,4022.0,923.0,55.0
21,21,0.0,3493.0,1424.0,83.0
22,22,0.0,2869.0,2011.0,120.0
23,23,0.0,2187.0,2653.0,160.0
24,24,0.0,1576.0,3239.0,185.0
25,25,0.0,1006.0,3781.0,213.0
26,26,0.0,538.0,4223.0,239.0
27,27,0.0,261.0,4492.0,247.0
28,28,0.0,101.0,4642.0,257.0
29,29,0.0,44.0,4697.0,259.0
30,30,0.0,14.0,4723.0,263.0
31,31,0.0,6.0,4730.0,264.0
32,32,0.0,2.0,4734.0,264.0
33,33,0.0,1.0,4734.0,265.0
34,34,0.0,0.0,4734.0,266.0
35,35,0.0,0.0,4734.0,266.0
36,36,0.0,0.0,4734.0,266.0
37,37,0.0,0.0,4734.0,266.0
38,38,0.0,0.0,4734.0,266.0
