,days,H,D,R,T,Iso,L,M,S
0,0,4999.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,4997.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
2,2,4989.0,11.0,0.0,0.0,0.0,9.0,2.0,0.0
3,3,4966.0,34.0,0.0,0.0,0.0,30.0,4.0,0.0
4,4,4901.0,99.0,0.0,0.0,0.0,82.0,13.0,4.0
5,5,4738.0,262.0,0.0,0.0,1.0,208.0,43.0,11.0
6,6,4323.0,677.0,0.0,0.0,3.0,534.0,116.0,27.0
7,7,3400.0,1600.0,0.0,0.0,11.0,1270.0,264.0,66.0
8,8,1904.0,3096.0,0.0,0.0,34.0,2473.0,481.0,142.0
9,9,597.0,4403.0,0.0,0.0,99.0,3522.0,670.0,211.0
10,10,112.0,4888.0,0.0,0.0,262.0,3901.0,754.0,233.0
11,11,21.0,4978.0,1.0,0.0,676.0,3972.0,767.0,239.0
12,12,5.0,4991.0,4.0,0.0,1596.0,3983.0,768.0,240.0
13,13,3.0,4986.0,11.0,0.0,3085.0,3978.0,768.0,240.0
14,14,2.0,4974.0,24.0,0.0,4379.0,3968.0,766.0,240.0
15,15,2.0,4926.0,68.0,4.0,4816.0,3929.0,759.0,238.0
16,16,2.0,4799.0,185.0,14.0,4780.0,3829.0,737.0,233.0
17,17,2.0,4526.0,444.0,28.0,4523.0,3606.0,698.0,222.0
18,18,2.0,4066.0,872.0,60.0,4065.0,3243.0,627.0,196.0
19,19,2.0,3315.0,1580.0,103.0,3315.0,2630.0,517.0,168.0
20,20,2.0,2470.0,2384.0,144.0,2470.0,1953.0,388.0,129.0
21,21,2.0,1701.0,3126.0,171.0,1701.0,1345.0,271.0,85.0
22,22,2.0,990.0,3802.0,206.0,990.0,776.0,161.0,53.0
23,23,2.0,445.0,4315.0,238.0,445.0,347.0,71.0,27.0
24,24,2.0,136.0,4610.0,252.0,136.0,109.0,22.0,5.0
25,25,2.0,27.0,4714.0,257.0,27.0,21.0,3.0,3.0
26,26,2.0,5.0,4735.0,258.0,5.0,5.0,0.0,0.0
27,27,2.0,1.0,4739.0,258.0,1.0,1.0,0.0,0.0
28,28,2.0,1.0,4739.0,258.0,1.0,1.0,0.0,0.0
29,29,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
30,30,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
31,31,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
32,32,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
33,33,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
34,34,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
35,35,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
36,36,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
37,37,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
38,38,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
39,39,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
40,40,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
41,41,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
42,42,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
43,43,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
44,44,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
45,45,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
46,46,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
47,47,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
48,48,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
49,49,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
50,50,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
51,51,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
52,52,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
53,53,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
54,54,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
55,55,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
56,56,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
57,57,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
58,58,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
59,59,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
60,60,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
61,61,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
62,62,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
63,63,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
64,64,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
65,65,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
66,66,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
67,67,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
68,68,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
69,69,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
70,70,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
71,71,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
72,72,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
73,73,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
74,74,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
75,75,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
76,76,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
77,77,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
78,78,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
79,79,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
80,80,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
81,81,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
82,82,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
83,83,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
84,84,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
85,85,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
86,86,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
87,87,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
88,88,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
89,89,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
90,90,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
91,91,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
92,92,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
93,93,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
94,94,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
95,95,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
96,96,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
97,97,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
98,98,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
99,99,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
100,100,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
101,101,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
102,102,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
103,103,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
104,104,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
105,105,2.0,0.0,4740.0,258.0,0.0,0.0,0.0,0.0
