,days,H,D,R,T
0,0,4990.0,10.0,0.0,0.0
1,1,4962.0,38.0,0.0,0.0
2,2,4896.0,104.0,0.0,0.0
3,3,4726.0,274.0,0.0,0.0
4,4,4355.0,645.0,0.0,0.0
5,5,3531.0,1469.0,0.0,0.0
6,6,2161.0,2839.0,0.0,0.0
7,7,737.0,4263.0,0.0,0.0
8,8,110.0,4890.0,0.0,0.0
9,9,9.0,4991.0,0.0,0.0
10,10,0.0,4998.0,2.0,0.0
11,11,0.0,4990.0,10.0,0.0
12,12,0.0,4973.0,27.0,0.0
13,13,0.0,4928.0,70.0,2.0
14,14,0.0,4817.0,175.0,8.0
15,15,0.0,4576.0,396.0,28.0
16,16,0.0,4104.0,849.0,47.0
17,17,0.0,3401.0,1521.0,78.0
18,18,0.0,2605.0,2274.0,121.0
19,19,0.0,1832.0,3007.0,161.0
20,20,0.0,1125.0,3683.0,192.0
21,21,0.0,527.0,4260.0,213.0
22,22,0.0,162.0,4615.0,223.0
23,23,0.0,17.0,4754.0,229.0
24,24,0.0,1.0,4768.0,231.0
25,25,0.0,0.0,4769.0,231.0
26,26,0.0,0.0,4769.0,231.0
27,27,0.0,0.0,4769.0,231.0
28,28,0.0,0.0,4769.0,231.0
29,29,0.0,0.0,4769.0,231.0
30,30,0.0,0.0,4769.0,231.0
31,31,0.0,0.0,4769.0,231.0
32,32,0.0,0.0,4769.0,231.0
33,33,0.0,0.0,4769.0,231.0
34,34,0.0,0.0,4769.0,231.0
35,35,0.0,0.0,4769.0,231.0
36,36,0.0,0.0,4769.0,231.0
37,37,0.0,0.0,4769.0,231.0
38,38,0.0,0.0,4769.0,231.0
