,days,H,D,R,T,Iso,L,M,S
0,0,4999.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,4998.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2,2,4995.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
3,3,4989.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
4,4,4981.0,19.0,0.0,0.0,0.0,16.0,2.0,1.0
5,5,4968.0,32.0,0.0,0.0,1.0,28.0,3.0,1.0
6,6,4942.0,58.0,0.0,0.0,2.0,51.0,5.0,2.0
7,7,4908.0,92.0,0.0,0.0,5.0,80.0,10.0,2.0
8,8,4842.0,158.0,0.0,0.0,11.0,136.0,18.0,4.0
9,9,4745.0,255.0,0.0,0.0,19.0,215.0,31.0,9.0
10,10,4570.0,430.0,0.0,0.0,32.0,362.0,55.0,13.0
11,11,4298.0,701.0,1.0,0.0,57.0,574.0,100.0,27.0
12,12,3899.0,1099.0,2.0,0.0,90.0,881.0,172.0,46.0
13,13,3279.0,1717.0,4.0,0.0,154.0,1370.0,269.0,78.0
14,14,2526.0,2466.0,8.0,0.0,247.0,1979.0,369.0,118.0
15,15,1665.0,3323.0,12.0,0.0,418.0,2668.0,505.0,150.0
16,16,951.0,4030.0,19.0,0.0,683.0,3242.0,603.0,185.0
17,17,461.0,4505.0,34.0,0.0,1067.0,3619.0,686.0,200.0
18,18,203.0,4729.0,68.0,0.0,1653.0,3789.0,720.0,220.0
19,19,91.0,4804.0,104.0,1.0,2369.0,3829.0,744.0,231.0
20,20,52.0,4775.0,172.0,1.0,3162.0,3797.0,746.0,232.0
21,21,29.0,4696.0,268.0,7.0,3774.0,3734.0,735.0,227.0
22,22,21.0,4533.0,435.0,11.0,4093.0,3607.0,707.0,219.0
23,23,17.0,4268.0,700.0,15.0,4082.0,3398.0,661.0,209.0
24,24,16.0,3847.0,1111.0,26.0,3772.0,3060.0,596.0,191.0
25,25,16.0,3319.0,1618.0,47.0,3283.0,2637.0,518.0,164.0
26,26,16.0,2660.0,2259.0,65.0,2647.0,2106.0,414.0,140.0
27,27,16.0,2068.0,2838.0,78.0,2063.0,1627.0,325.0,116.0
28,28,16.0,1474.0,3407.0,103.0,1473.0,1157.0,237.0,80.0
29,29,16.0,972.0,3896.0,116.0,972.0,761.0,151.0,60.0
30,30,16.0,569.0,4281.0,134.0,569.0,442.0,93.0,34.0
31,31,16.0,287.0,4550.0,147.0,287.0,222.0,46.0,19.0
32,32,16.0,137.0,4694.0,153.0,137.0,102.0,26.0,9.0
33,33,16.0,61.0,4765.0,158.0,61.0,42.0,15.0,4.0
34,34,16.0,18.0,4807.0,159.0,18.0,15.0,2.0,1.0
35,35,16.0,5.0,4820.0,159.0,5.0,4.0,0.0,1.0
36,36,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
37,37,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
38,38,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
39,39,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
40,40,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
41,41,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
42,42,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
43,43,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
44,44,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
45,45,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
46,46,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
47,47,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
48,48,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
49,49,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
50,50,16.0,0.0,4824.0,160.0,0.0,0.0,0.0,0.0
