,days,H,D,R,T,Iso,L,M,S
0,0,4999.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,4993.0,7.0,0.0,0.0,0.0,5.0,2.0,0.0
2,2,4969.0,31.0,0.0,0.0,0.0,25.0,4.0,2.0
3,3,4840.0,160.0,0.0,0.0,0.0,123.0,22.0,15.0
4,4,4258.0,742.0,0.0,0.0,0.0,591.0,111.0,40.0
5,5,2236.0,2764.0,0.0,0.0,1.0,2221.0,399.0,144.0
6,6,147.0,4853.0,0.0,0.0,7.0,3880.0,709.0,264.0
7,7,0.0,5000.0,0.0,0.0,31.0,4003.0,727.0,270.0
8,8,0.0,5000.0,0.0,0.0,160.0,4003.0,727.0,270.0
9,9,0.0,5000.0,0.0,0.0,742.0,4003.0,727.0,270.0
10,10,0.0,5000.0,0.0,0.0,2764.0,4003.0,727.0,270.0
11,11,0.0,4999.0,1.0,0.0,4852.0,4002.0,727.0,270.0
12,12,0.0,4993.0,7.0,0.0,4993.0,3997.0,726.0,270.0
13,13,0.0,4951.0,45.0,4.0,4951.0,3965.0,721.0,265.0
14,14,0.0,4829.0,162.0,9.0,4829.0,3874.0,696.0,259.0
15,15,0.0,4394.0,580.0,26.0,4394.0,3522.0,635.0,237.0
16,16,0.0,3597.0,1354.0,49.0,3597.0,2878.0,523.0,196.0
17,17,0.0,2755.0,2166.0,79.0,2755.0,2199.0,401.0,155.0
18,18,0.0,1980.0,2907.0,113.0,1980.0,1567.0,305.0,108.0
19,19,0.0,1139.0,3716.0,145.0,1139.0,903.0,178.0,58.0
20,20,0.0,380.0,4448.0,172.0,380.0,300.0,58.0,22.0
21,21,0.0,23.0,4790.0,187.0,23.0,19.0,4.0,0.0
22,22,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
27,27,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
32,32,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
33,33,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
34,34,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
35,35,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
37,37,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
38,38,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
39,39,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
40,40,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4813.0,187.0,0.0,0.0,0.0,0.0
