,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4995.0,5.0,0.0,0.0
2,2,4989.0,11.0,0.0,0.0
3,3,4967.0,33.0,0.0,0.0
4,4,4921.0,79.0,0.0,0.0
5,5,4775.0,225.0,0.0,0.0
6,6,4406.0,594.0,0.0,0.0
7,7,3549.0,1451.0,0.0,0.0
8,8,2098.0,2902.0,0.0,0.0
9,9,672.0,4328.0,0.0,0.0
10,10,123.0,4877.0,0.0,0.0
11,11,14.0,4984.0,2.0,0.0
12,12,2.0,4996.0,2.0,0.0
13,13,0.0,4989.0,11.0,0.0
14,14,0.0,4977.0,23.0,0.0
15,15,0.0,4942.0,57.0,1.0
16,16,0.0,4838.0,156.0,6.0
17,17,0.0,4614.0,360.0,26.0
18,18,0.0,4145.0,806.0,49.0
19,19,0.0,3407.0,1503.0,90.0
20,20,0.0,2624.0,2240.0,136.0
21,21,0.0,1836.0,2986.0,178.0
22,22,0.0,1118.0,3671.0,211.0
23,23,0.0,505.0,4252.0,243.0
24,24,0.0,129.0,4609.0,262.0
25,25,0.0,17.0,4714.0,269.0
26,26,0.0,3.0,4728.0,269.0
27,27,0.0,0.0,4731.0,269.0
28,28,0.0,0.0,4731.0,269.0
29,29,0.0,0.0,4731.0,269.0
30,30,0.0,0.0,4731.0,269.0
31,31,0.0,0.0,4731.0,269.0
32,32,0.0,0.0,4731.0,269.0
33,33,0.0,0.0,4731.0,269.0
34,34,0.0,0.0,4731.0,269.0
35,35,0.0,0.0,4731.0,269.0
36,36,0.0,0.0,4731.0,269.0
37,37,0.0,0.0,4731.0,269.0
38,38,0.0,0.0,4731.0,269.0
