,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4986.0,14.0,0.0,0.0
2,2,4973.0,27.0,0.0,0.0
3,3,4940.0,60.0,0.0,0.0
4,4,4896.0,104.0,0.0,0.0
5,5,4820.0,180.0,0.0,0.0
6,6,4670.0,330.0,0.0,0.0
7,7,4468.0,532.0,0.0,0.0
8,8,4117.0,883.0,0.0,0.0
9,9,3548.0,1452.0,0.0,0.0
10,10,2782.0,2218.0,0.0,0.0
11,11,1893.0,3105.0,2.0,0.0
12,12,1053.0,3941.0,5.0,1.0
13,13,459.0,4527.0,13.0,1.0
14,14,135.0,4836.0,28.0,1.0
15,15,39.0,4898.0,60.0,3.0
16,16,12.0,4870.0,112.0,6.0
17,17,2.0,4787.0,200.0,11.0
18,18,0.0,4663.0,321.0,16.0
19,19,0.0,4427.0,548.0,25.0
20,20,0.0,4056.0,905.0,39.0
21,21,0.0,3546.0,1393.0,61.0
22,22,0.0,2920.0,1988.0,92.0
23,23,0.0,2293.0,2588.0,119.0
24,24,0.0,1649.0,3183.0,168.0
25,25,0.0,1060.0,3755.0,185.0
26,26,0.0,605.0,4188.0,207.0
27,27,0.0,280.0,4495.0,225.0
28,28,0.0,105.0,4664.0,231.0
29,29,0.0,36.0,4730.0,234.0
30,30,0.0,12.0,4754.0,234.0
31,31,0.0,3.0,4763.0,234.0
32,32,0.0,2.0,4764.0,234.0
33,33,0.0,0.0,4766.0,234.0
34,34,0.0,0.0,4766.0,234.0
35,35,0.0,0.0,4766.0,234.0
36,36,0.0,0.0,4766.0,234.0
37,37,0.0,0.0,4766.0,234.0
38,38,0.0,0.0,4766.0,234.0
