,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4993.0,7.0,0.0,0.0
2,2,4968.0,32.0,0.0,0.0
3,3,4845.0,155.0,0.0,0.0
4,4,4269.0,731.0,0.0,0.0
5,5,2311.0,2689.0,0.0,0.0
6,6,161.0,4839.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4998.0,2.0,0.0
12,12,0.0,4994.0,6.0,0.0
13,13,0.0,4967.0,31.0,2.0
14,14,0.0,4847.0,144.0,9.0
15,15,0.0,4400.0,572.0,28.0
16,16,0.0,3555.0,1375.0,70.0
17,17,0.0,2794.0,2102.0,104.0
18,18,0.0,1970.0,2888.0,142.0
19,19,0.0,1133.0,3683.0,184.0
20,20,0.0,436.0,4342.0,222.0
21,21,0.0,27.0,4734.0,239.0
22,22,0.0,0.0,4760.0,240.0
23,23,0.0,0.0,4760.0,240.0
24,24,0.0,0.0,4760.0,240.0
25,25,0.0,0.0,4760.0,240.0
26,26,0.0,0.0,4760.0,240.0
27,27,0.0,0.0,4760.0,240.0
28,28,0.0,0.0,4760.0,240.0
29,29,0.0,0.0,4760.0,240.0
30,30,0.0,0.0,4760.0,240.0
31,31,0.0,0.0,4760.0,240.0
32,32,0.0,0.0,4760.0,240.0
33,33,0.0,0.0,4760.0,240.0
34,34,0.0,0.0,4760.0,240.0
35,35,0.0,0.0,4760.0,240.0
36,36,0.0,0.0,4760.0,240.0
37,37,0.0,0.0,4760.0,240.0
38,38,0.0,0.0,4760.0,240.0
