,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4984.0,16.0,0.0,0.0
2,2,4956.0,44.0,0.0,0.0
3,3,4885.0,115.0,0.0,0.0
4,4,4710.0,290.0,0.0,0.0
5,5,4336.0,664.0,0.0,0.0
6,6,3540.0,1460.0,0.0,0.0
7,7,2143.0,2857.0,0.0,0.0
8,8,720.0,4280.0,0.0,0.0
9,9,82.0,4918.0,0.0,0.0
10,10,3.0,4997.0,0.0,0.0
11,11,0.0,4996.0,4.0,0.0
12,12,0.0,4985.0,15.0,0.0
13,13,0.0,4969.0,31.0,0.0
14,14,0.0,4925.0,73.0,2.0
15,15,0.0,4813.0,181.0,6.0
16,16,0.0,4559.0,425.0,16.0
17,17,0.0,4141.0,826.0,33.0
18,18,0.0,3423.0,1513.0,64.0
19,19,0.0,2625.0,2278.0,97.0
20,20,0.0,1828.0,3037.0,135.0
21,21,0.0,1135.0,3702.0,163.0
22,22,0.0,519.0,4292.0,189.0
23,23,0.0,136.0,4655.0,209.0
24,24,0.0,14.0,4769.0,217.0
25,25,0.0,1.0,4782.0,217.0
26,26,0.0,0.0,4783.0,217.0
27,27,0.0,0.0,4783.0,217.0
28,28,0.0,0.0,4783.0,217.0
29,29,0.0,0.0,4783.0,217.0
30,30,0.0,0.0,4783.0,217.0
31,31,0.0,0.0,4783.0,217.0
32,32,0.0,0.0,4783.0,217.0
33,33,0.0,0.0,4783.0,217.0
34,34,0.0,0.0,4783.0,217.0
35,35,0.0,0.0,4783.0,217.0
36,36,0.0,0.0,4783.0,217.0
37,37,0.0,0.0,4783.0,217.0
38,38,0.0,0.0,4783.0,217.0
