,days,H,D,R,T,Iso,L,M,S
0,0,4990.0,10.0,0.0,0.0,0.0,6.0,2.0,2.0
1,1,4985.0,15.0,0.0,0.0,0.0,10.0,3.0,2.0
2,2,4976.0,24.0,0.0,0.0,0.0,17.0,3.0,4.0
3,3,4957.0,43.0,0.0,0.0,0.0,33.0,6.0,4.0
4,4,4913.0,87.0,0.0,0.0,0.0,62.0,15.0,10.0
5,5,4855.0,145.0,0.0,0.0,10.0,110.0,24.0,11.0
6,6,4764.0,236.0,0.0,0.0,15.0,185.0,38.0,13.0
7,7,4602.0,398.0,0.0,0.0,24.0,307.0,71.0,20.0
8,8,4342.0,658.0,0.0,0.0,43.0,519.0,111.0,28.0
9,9,3957.0,1043.0,0.0,0.0,87.0,825.0,171.0,47.0
10,10,3362.0,1633.0,4.0,1.0,140.0,1303.0,259.0,71.0
11,11,2621.0,2370.0,8.0,1.0,227.0,1904.0,358.0,108.0
12,12,1847.0,3142.0,10.0,1.0,387.0,2521.0,471.0,150.0
13,13,1150.0,3836.0,12.0,2.0,644.0,3086.0,575.0,175.0
14,14,646.0,4322.0,28.0,4.0,1011.0,3475.0,649.0,198.0
15,15,370.0,4568.0,57.0,5.0,1576.0,3683.0,678.0,207.0
16,16,211.0,4684.0,99.0,6.0,2274.0,3769.0,701.0,214.0
17,17,146.0,4693.0,154.0,7.0,2992.0,3783.0,692.0,218.0
18,18,107.0,4631.0,251.0,11.0,3588.0,3731.0,685.0,215.0
19,19,91.0,4490.0,402.0,17.0,3935.0,3618.0,663.0,209.0
20,20,86.0,4259.0,631.0,24.0,3975.0,3430.0,629.0,200.0
21,21,83.0,3856.0,1029.0,32.0,3728.0,3097.0,571.0,188.0
22,22,80.0,3353.0,1520.0,47.0,3287.0,2702.0,485.0,166.0
23,23,80.0,2793.0,2058.0,69.0,2766.0,2243.0,411.0,139.0
24,24,80.0,2182.0,2646.0,92.0,2171.0,1765.0,306.0,111.0
25,25,80.0,1562.0,3245.0,113.0,1556.0,1259.0,231.0,72.0
26,26,80.0,1059.0,3730.0,131.0,1056.0,843.0,166.0,50.0
27,27,80.0,647.0,4127.0,146.0,647.0,517.0,100.0,30.0
28,28,80.0,360.0,4409.0,151.0,360.0,290.0,51.0,19.0
29,29,80.0,184.0,4579.0,157.0,184.0,149.0,25.0,10.0
30,30,80.0,93.0,4669.0,158.0,93.0,72.0,13.0,8.0
31,31,80.0,45.0,4716.0,159.0,45.0,33.0,8.0,4.0
32,32,80.0,14.0,4743.0,163.0,14.0,11.0,3.0,0.0
33,33,80.0,8.0,4749.0,163.0,8.0,8.0,0.0,0.0
34,34,80.0,5.0,4752.0,163.0,5.0,5.0,0.0,0.0
35,35,80.0,2.0,4755.0,163.0,2.0,2.0,0.0,0.0
36,36,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
37,37,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
38,38,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
39,39,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
40,40,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
41,41,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
42,42,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
43,43,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
44,44,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
45,45,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
46,46,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
47,47,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
48,48,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
49,49,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
50,50,80.0,0.0,4757.0,163.0,0.0,0.0,0.0,0.0
