,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4973.0,27.0,0.0,0.0
2,2,4865.0,135.0,0.0,0.0
3,3,4375.0,625.0,0.0,0.0
4,4,2556.0,2444.0,0.0,0.0
5,5,245.0,4755.0,0.0,0.0
6,6,0.0,5000.0,0.0,0.0
7,7,0.0,5000.0,0.0,0.0
8,8,0.0,5000.0,0.0,0.0
9,9,0.0,5000.0,0.0,0.0
10,10,0.0,5000.0,0.0,0.0
11,11,0.0,4997.0,2.0,1.0
12,12,0.0,4972.0,26.0,2.0
13,13,0.0,4886.0,105.0,9.0
14,14,0.0,4455.0,504.0,41.0
15,15,0.0,3684.0,1230.0,86.0
16,16,0.0,2845.0,2028.0,127.0
17,17,0.0,2003.0,2825.0,172.0
18,18,0.0,1166.0,3608.0,226.0
19,19,0.0,472.0,4275.0,253.0
20,20,0.0,37.0,4691.0,272.0
21,21,0.0,0.0,4728.0,272.0
22,22,0.0,0.0,4728.0,272.0
23,23,0.0,0.0,4728.0,272.0
24,24,0.0,0.0,4728.0,272.0
25,25,0.0,0.0,4728.0,272.0
26,26,0.0,0.0,4728.0,272.0
27,27,0.0,0.0,4728.0,272.0
28,28,0.0,0.0,4728.0,272.0
29,29,0.0,0.0,4728.0,272.0
30,30,0.0,0.0,4728.0,272.0
31,31,0.0,0.0,4728.0,272.0
32,32,0.0,0.0,4728.0,272.0
33,33,0.0,0.0,4728.0,272.0
34,34,0.0,0.0,4728.0,272.0
35,35,0.0,0.0,4728.0,272.0
36,36,0.0,0.0,4728.0,272.0
37,37,0.0,0.0,4728.0,272.0
38,38,0.0,0.0,4728.0,272.0
