,days,H,D,R,T,Iso,L,M,S
0,0,4999.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,4998.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2,2,4996.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0
3,3,4992.0,8.0,0.0,0.0,0.0,7.0,1.0,0.0
4,4,4984.0,16.0,0.0,0.0,0.0,12.0,4.0,0.0
5,5,4967.0,33.0,0.0,0.0,1.0,23.0,9.0,1.0
6,6,4945.0,55.0,0.0,0.0,2.0,39.0,14.0,2.0
7,7,4913.0,87.0,0.0,0.0,4.0,64.0,21.0,2.0
8,8,4849.0,151.0,0.0,0.0,8.0,116.0,29.0,6.0
9,9,4747.0,253.0,0.0,0.0,16.0,198.0,43.0,12.0
10,10,4563.0,437.0,0.0,0.0,33.0,342.0,70.0,25.0
11,11,4287.0,713.0,0.0,0.0,55.0,554.0,117.0,42.0
12,12,3822.0,1178.0,0.0,0.0,87.0,926.0,189.0,63.0
13,13,3211.0,1787.0,2.0,0.0,149.0,1413.0,281.0,93.0
14,14,2393.0,2603.0,3.0,1.0,249.0,2062.0,410.0,131.0
15,15,1636.0,3358.0,5.0,1.0,431.0,2667.0,518.0,173.0
16,16,969.0,4010.0,18.0,3.0,692.0,3227.0,586.0,197.0
17,17,539.0,4426.0,32.0,3.0,1143.0,3564.0,651.0,211.0
18,18,297.0,4646.0,54.0,3.0,1732.0,3732.0,692.0,222.0
19,19,177.0,4727.0,92.0,4.0,2511.0,3796.0,700.0,231.0
20,20,122.0,4710.0,159.0,9.0,3196.0,3779.0,700.0,231.0
21,21,94.0,4632.0,262.0,12.0,3757.0,3718.0,690.0,224.0
22,22,80.0,4459.0,435.0,26.0,4000.0,3582.0,659.0,218.0
23,23,72.0,4187.0,697.0,44.0,3962.0,3368.0,619.0,200.0
24,24,68.0,3762.0,1106.0,64.0,3653.0,3036.0,542.0,184.0
25,25,64.0,3249.0,1596.0,91.0,3191.0,2630.0,459.0,160.0
26,26,62.0,2645.0,2167.0,126.0,2613.0,2152.0,369.0,124.0
27,27,61.0,2035.0,2741.0,163.0,2016.0,1648.0,293.0,94.0
28,28,61.0,1432.0,3312.0,195.0,1421.0,1155.0,216.0,61.0
29,29,61.0,930.0,3789.0,220.0,923.0,744.0,148.0,38.0
30,30,61.0,577.0,4117.0,245.0,574.0,468.0,83.0,26.0
31,31,61.0,300.0,4373.0,266.0,299.0,238.0,44.0,18.0
32,32,61.0,156.0,4512.0,271.0,156.0,117.0,26.0,13.0
33,33,61.0,72.0,4592.0,275.0,72.0,58.0,9.0,5.0
34,34,61.0,33.0,4628.0,278.0,33.0,27.0,5.0,1.0
35,35,61.0,22.0,4639.0,278.0,22.0,19.0,3.0,0.0
36,36,61.0,10.0,4651.0,278.0,10.0,8.0,2.0,0.0
37,37,61.0,6.0,4654.0,279.0,6.0,6.0,0.0,0.0
