,days,H,D,R,T
0,0,4999.0,1.0,0.0,0.0
1,1,4999.0,1.0,0.0,0.0
2,2,4999.0,1.0,0.0,0.0
3,3,4998.0,2.0,0.0,0.0
4,4,4996.0,4.0,0.0,0.0
5,5,4995.0,5.0,0.0,0.0
6,6,4993.0,7.0,0.0,0.0
7,7,4989.0,11.0,0.0,0.0
8,8,4987.0,13.0,0.0,0.0
9,9,4980.0,20.0,0.0,0.0
10,10,4976.0,24.0,0.0,0.0
11,11,4971.0,29.0,0.0,0.0
12,12,4967.0,33.0,0.0,0.0
13,13,4957.0,42.0,1.0,0.0
14,14,4944.0,55.0,1.0,0.0
15,15,4926.0,72.0,2.0,0.0
16,16,4905.0,93.0,2.0,0.0
17,17,4880.0,116.0,3.0,1.0
18,18,4842.0,153.0,4.0,1.0
19,19,4787.0,205.0,7.0,1.0
20,20,4730.0,258.0,11.0,1.0
21,21,4642.0,338.0,18.0,2.0
22,22,4533.0,443.0,21.0,3.0
23,23,4394.0,577.0,26.0,3.0
24,24,4239.0,725.0,33.0,3.0
25,25,4043.0,908.0,46.0,3.0
26,26,3809.0,1128.0,56.0,7.0
27,27,3514.0,1413.0,65.0,8.0
28,28,3248.0,1663.0,79.0,10.0
29,29,2881.0,1993.0,114.0,12.0
30,30,2486.0,2354.0,144.0,16.0
31,31,2117.0,2682.0,184.0,17.0
32,32,1743.0,2996.0,241.0,20.0
33,33,1400.0,3260.0,313.0,27.0
34,34,1089.0,3474.0,404.0,33.0
35,35,780.0,3647.0,533.0,40.0
36,36,557.0,3717.0,677.0,49.0
37,37,366.0,3713.0,863.0,58.0
38,38,270.0,3596.0,1063.0,71.0
