,days,H,D,R,T
0,0,4995.0,5.0,0.0,0.0
1,1,4991.0,9.0,0.0,0.0
2,2,4986.0,14.0,0.0,0.0
3,3,4969.0,31.0,0.0,0.0
4,4,4948.0,52.0,0.0,0.0
5,5,4897.0,103.0,0.0,0.0
6,6,4811.0,189.0,0.0,0.0
7,7,4670.0,330.0,0.0,0.0
8,8,4402.0,598.0,0.0,0.0
9,9,4005.0,995.0,0.0,0.0
10,10,3413.0,1587.0,0.0,0.0
11,11,2607.0,2390.0,3.0,0.0
12,12,1727.0,3270.0,3.0,0.0
13,13,950.0,4037.0,13.0,0.0
14,14,464.0,4510.0,26.0,0.0
15,15,190.0,4766.0,44.0,0.0
16,16,64.0,4853.0,80.0,3.0
17,17,19.0,4859.0,116.0,6.0
18,18,3.0,4790.0,194.0,13.0
19,19,1.0,4633.0,345.0,21.0
20,20,1.0,4399.0,573.0,27.0
21,21,1.0,3997.0,948.0,54.0
22,22,0.0,3478.0,1434.0,88.0
23,23,0.0,2870.0,2014.0,116.0
24,24,0.0,2239.0,2608.0,153.0
25,25,0.0,1577.0,3234.0,189.0
26,26,0.0,986.0,3795.0,219.0
27,27,0.0,522.0,4233.0,245.0
28,28,0.0,272.0,4470.0,258.0
29,29,0.0,119.0,4618.0,263.0
30,30,0.0,34.0,4698.0,268.0
31,31,0.0,8.0,4722.0,270.0
32,32,0.0,2.0,4727.0,271.0
33,33,0.0,1.0,4728.0,271.0
34,34,0.0,1.0,4728.0,271.0
35,35,0.0,1.0,4728.0,271.0
36,36,0.0,0.0,4729.0,271.0
37,37,0.0,0.0,4729.0,271.0
38,38,0.0,0.0,4729.0,271.0
